Record ID#,Jurisdiction Name,State,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,VotesYes,VotesNo,Total Votes,% Yes,% No,Notes,Expiration?,Year of Expiration,Year of Renewal,FIPS1,FIPS,Related Code - Political DB
7909,Rochester Hills,MI,Municipal,11/8/1988,Park and Recreation bonds,Bond,,"Recreation, parks","$9,000,000 ","$4,500,000 ","$9,000,000 ","$4,500,000 ",yes,Pass,"15,024","10,962","25,986",57.82%,42.18%,,no,,,2669035,2669035,
7912,Orland Park,IL,Municipal,11/8/1988,40-acre community park bond,Bond,,Park,"$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",yes,Pass,"6,968","4,757","11,725",59.43%,40.57%,,no,,,1756640,1756640,
9663,Flagler County,FL,County,11/8/1988,"20-year, .33 mill property tax increase for the acquisition of environmentally sensitive lands",Property tax,,"Parks, watershed protection, recreation","$7,800,000 ","$7,800,000 ","$7,800,000 ","$7,800,000 ",yes,Pass,"6,596","4,176","10,772",61.23%,38.77%,,yes,2008,,12035,12035,12035
9872,Hernando County,FL,County,11/8/1988,"30-year, .1 mill levy for the acquisition and preservation of environmentally sensitive lands",Property tax,,"Open space, wildlife habitat, recreation",,,,,yes,Pass,"21,360","18,784","40,144",53.21%,46.79%,Includes bond issuance,yes,2018,,12053,12053,12053
7828,Groton,CT,Municipal,11/8/1988,Bond for land acquisition,Bond,,"Recreation, open space","$8,000,000 ","$8,000,000 ","$8,000,000 ","$8,000,000 ",yes,Pass,"7,619","2,639","10,258",74.27%,25.73%,,no,,,901134250,901134250,
7852,Cheshire,CT,Municipal,11/8/1988,"Bond for acquisition of land for recreation, open space, conservation, educational and municipal purposes",Bond,,Recreation and open space,"$1,500,000 ","$1,000,000 ","$1,500,000 ","$1,000,000 ",yes,Pass,"7,228","4,001","11,229",64.37%,35.63%,New Haven County,no,,,900914160,900914160,
9365,Bloomfield,CT,Municipal,11/8/1988,Bond for Open space and recreational lands,Bond,,"Open space, recreation","$4,000,000 ","$4,000,000 ","$4,000,000 ","$4,000,000 ",yes,Pass,"5,928","1,697","7,625",77.74%,22.26%,,no,,,900305910,900305910,
7658,East Bay Regional Park District,CA,Special District,11/8/1988,"Bond for the protection of wildlife, parks and open space through land acquisition",Bond,,"Open space, wildlife habitat, parks","$225,000,000 ","$168,750,000 ","$225,000,000 ","$168,750,000 ",yes,Pass,,,,,,"Alameda and Contra Costa Counties, 2/3rds req. 68% to 32%",no,,,,,
7712,California,CA,State,6/7/1988,"Proposition # 70,Bond for acquisition of land for wildlife, costal, and park ",Bond,,"wildlife habitat, parks","$776,000,000 ","$776,000,000 ","$776,000,000 ","$776,000,000 ",yes,Pass,"3,531,629","1,889,346","5,420,975",65.15%,34.85%,,no,,,6,6,6
10160,Santa Clara County,CA,County,11/8/1988,"3-year, $1.5 cent per $100 property tax extension of Park Charter Fund",Property tax,,"Open space, recreation, parks, trails, wildlife habitat, watershed protection","$27,000,000 ","$5,400,000 ","$27,000,000 ","$5,400,000 ",yes,Pass,"305,112","155,892","461,004",66.18%,33.82%,"Measure B
20% for acquisition, 80% for development operations and maintenance",no,,,6085,6085,6085
7904,Phoenix,AZ,Municipal,4/19/1988,"Proposition 8- Bond for 6,000 acres of open space preservation",Bond,,"Open space, parks","$137,240,000 ","$34,810,000 ","$137,240,000 ","$34,810,000 ",yes,Pass,"51,924","37,548","89,472",58.03%,41.97%,,no,,,455000,455000,
7626,King County,WA,County,11/7/1989,"Bond for green space, open space, parks and trail acquisition and improvement",Bond,,"Open space, parks, trails, greenways","$117,640,000 ","$117,640,000 ","$117,640,000 ","$117,640,000 ",yes,Pass,"255,865","124,798","380,663",67.22%,32.78%,,no,,,53033,53033,53033
9262,Clark County,WA,County,5/16/1989,"Bond for parks, open space, trails, and recreation",Bond,,"Open space, parks, trails, recreation","$28,875,000 ","$28,875,000 ",,,no,Fail,"25,076","26,503","51,579",48.62%,51.38%,"Mail-ballot, 60% req.",no,,,53011,53011,53011
7840,Rhode Island,RI,State,11/7/1989,"Environmental Management Bond-bond for environmental emergencies and problems, acquisition of open space, parks, and Pawtuxet  River Watershed protection  ",Bond,,"Recreation, open space, watershed protection, farmland, parks","$74,500,000 ","$65,500,000 ","$74,500,000 ","$65,500,000 ",yes,Pass,"70,920","39,598","110,518",64.17%,35.83%,,no,,,44,44,44
7697,Chester County,PA,County,11/7/1989,Bond for open space and farmland preservation,Bond,,"Open space, farmland","$50,000,000 ","$50,000,000 ","$50,000,000 ","$50,000,000 ",yes,Pass,"55,036","13,699","68,735",80.07%,19.93%,,no,,,42029,42029,42029
7917,Tualatin Hills Park and Recreation District,Ore,Special District,11/7/1989,Park and Recreation bonds,Bond,,"Recreation, parks","$28,100,000 ","$3,000,000 ",,,no,Fail,"14,083","14,971","29,054",48.47%,51.53%,,no,,,,,
7901,Sand Springs,OK,Municipal,2/7/1989,Park Bonds,Bond,,Parks,"$250,000 ","$100,000 ","$250,000 ","$100,000 ",yes,Pass,"1,232",898,"2,130",57.84%,42.16%,,no,,,4065300,4065300,
7837,East Hampton,NY,Municipal,11/7/1989,"Bond for open space, farmland and wetlands",Bond,,"Open space, farmland","$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",yes,Pass,"3,295","2,044","5,339",61.72%,38.28%,,no,,,3610322194,3610322194,
7816,New Jersey,NJ,State,11/7/1989,"Public question #1, bond to acquire land for conservation and recreation and to preserve farmland",Bond,,"Open space, farmland, recreation","$300,000,000 ","$300,000,000 ","$300,000,000 ","$300,000,000 ",yes,Pass,"1,064,626","432,710","1,497,336",71.10%,28.90%,,no,,,34,34,34
8066,Cape May County,NJ,County,11/7/1989,1-cent per $100 property tax to preserve open space and agricultural lands,Property tax,,"Open space, farmland","$26,000,000 ","$26,000,000 ","$26,000,000 ","$26,000,000 ",yes,Pass,"18,388","7,945","26,333",69.83%,30.17%,,no,,,34009,34009,34009
8080,North Brunswick Township,NJ,Municipal,11/7/1989,2-cent property tax for acquisition of recreational lands,Property tax,,Recreation,,,,,no,,,,,,,,no,,,3402352560,3402352560,
8082,Somerset County,NJ,County,11/7/1989,1.5 cents tax for the Open Space Preservation Trust Fund,Property tax,,"Open space, watershed protection","$68,000,000 ","$68,000,000 ","$68,000,000 ","$68,000,000 ",yes,Pass,"33,958","15,411","49,369",68.78%,31.22%,,no,,,34035,34035,34035
9513,Mercer County,NJ,County,11/7/1989,1 cent per $100 property tax to establish an open space trust fund,Property tax,,Open space,"$69,420,220 ","$69,420,220 ","$69,420,220 ","$69,420,220 ",yes,Pass,"43,192","28,839","72,031",59.96%,40.04%,,no,,,34021,34021,34021
7829,Chapel Hill,NC,Municipal,5/2/1989,"Bond issue for acquisition and development of land for parks, greenways and open space",Bond,,"Open space, parks, greenways","$5,000,000 ","$4,000,000 ","$5,000,000 ","$4,000,000 ",yes,Pass,"2,087",715,"2,802",74.48%,25.52%,Orange Co.,no,,,3711800,3711800,
7872,Forsyth County,NC,County,11/7/1989,"Bond for for the purpose of providing funds, with any other available funds, for enlarging and improving Tanglewood Park",Bond,,Parks,"$3,200,000 ","$500,000 ",,,no,Fail,"18,389","18,512","36,901",49.83%,50.17%,,no,,,37067,37067,37067
7873,Forsyth County,NC,County,11/7/1989,Bond for parks and recreation,Bond,,"Recreation, parks","$1,500,000 ","$750,000 ","$1,500,000 ","$750,000 ",yes,Pass,"20,028","17,346","37,374",53.59%,46.41%,,no,,,37067,37067,37067
7882,Mecklenburg County,NC,County,11/7/1989,Bonds for parks,Bond,,"Parks, greenways","$15,820,000 ","$6,000,000 ","$15,820,000 ","$6,000,000 ",yes,Pass,"46,280","27,266","73,546",62.93%,37.07%,,no,,,37119,37119,37119
7876,Eden Prairie,MN,Municipal,5/25/1989,Bond for land acquisition,Bond,,"Recreation, open space","$9,045,000 ","$3,000,000 ",,,no,Fail,"2,301","2,429","4,730",48.65%,51.35%,Hennepin County,no,,,2718116,2718116,
7877,Greenbelt,MD,Municipal,6/27/1989,Bond for financing the cost of developing and improving Schrom Hills Park,Bond,,Parks,"$1,000,000 ","$250,000 ","$1,000,000 ","$250,000 ",yes,Pass,"1,216",356,"1,572",77.35%,22.65%,,no,,,2434775,2434775,
9415,Cuba,IL,Municipal,11/7/1989,Bonds to finance open space purchases under the Township Open Space Act and property tax not in excess of 5.75% on the valuation fo taxable property,Bond,,Open space,"$21,430,320 ","$21,430,320 ",,,no,Fail,861,"2,227","3,088",27.88%,72.12%,,no,,,1709718004,1709718004,
7867,Broward County,FL,County,3/14/1989,Bond for open space,Bond,,Open space,"$75,000,000 ","$75,000,000 ","$75,000,000 ","$75,000,000 ",yes,Pass,"38,843","27,330","66,173",58.70%,41.30%,,no,,,12011,12011,12011
8063,Davie,FL,Municipal,3/14/1989,Bond for open space acquisition,Bond,,"Open space, trails","$10,000,000 ","$10,000,000 ","$10,000,000 ","$10,000,000 ",yes,Pass,"3,004",767,"3,771",79.66%,20.34%,,no,,,1216475,1216475,
9260,Martin County,FL,County,5/16/1989,Bond for the acquisition of recreational and environmentally sensitive lands,Bond,,"Open space, recreation","$20,000,000 ","$20,000,000 ","$20,000,000 ","$20,000,000 ",yes,Pass,"5,867","5,148","11,015",53.26%,46.74%,,no,,,12085,12085,12085
9412,Pinellas County,FL,County,11/7/1989,"10-year, ""Penny for Pinellas"", One-cent sales tax to finance county and municipal infrastructure projects including open space acquisition ",Sales tax,,"Recreation, open space, parks","$469,309,000 ","$69,092,349 ","$469,309,000 ","$69,092,349 ",yes,Pass,"67,631","67,233","134,864",50.15%,49.85%,,yes,1999,,12103,12103,12103
7851,Cheshire,CT,Municipal,11/8/1989,"Bond for land acquisition of land for recreation, open space, conservation, educational and municipal purposes",Bond,,"Recreation, open space","$1,500,000 ","$1,000,000 ","$1,500,000 ","$1,000,000 ",yes,Pass,"4,738","3,657","8,395",56.44%,43.56%,New Haven County,no,,,900914160,900914160,
7853,Tolland,CT,Municipal,11/7/1989,Bond for land acquisition,Bond,,"Recreation, open space","$2,600,000 ","$2,600,000 ","$2,600,000 ","$2,600,000 ",yes,Pass,"2,155","1,384","3,539",60.89%,39.11%,,no,,,901376290,901376290,
9364,Middletown,CT,Municipal,11/7/1989,Bond for the acquisition of open space and farmland,Bond,,Open space and farmland,"$5,000,000 ","$5,000,000 ","$5,000,000 ","$5,000,000 ",yes,Pass,"6,198","1,976","8,174",75.83%,24.17%,,no,,,900747360,900747360,
7791,Boulder County,CO,County,5/16/1989,"1% sales and use tax increase, decreased to 0.75% after 15-years, for property tax relief and open space acquisition1% sales and use tax increase, decreased to 0.75% after 15-years, for property tax relief and open space acquisition",Sales tax,,Open space,,,,,no,Fail,"11,519","13,481","25,000",46.08%,53.92%,,no,,,8013,8013,8013
7798,Boulder,CO,Municipal,11/7/1989,"Question No. 3, 15-year, 0.33% sales and use tax increase for acquisition, maintenance, preservation, retention and use of open space lands",Sales tax,,Open space,,,,,no,,,,,,,,no,,,807850,807850,
7799,Westminster,CO,Municipal,11/7/1989,"Question No. 2, 5-year, 0.25% sales and use tax extension for open space, park and trail acquisition, preservation and development",Sales tax,,"Open space, parks, trails","$32,324,301 ","$32,324,301 ","$32,324,301 ","$32,324,301 ",yes,Pass,"4,890","1,864","6,754",72.40%,27.60%,Adams Co.,yes,1994,,883835,883835,
7817,Denver County,CO,County,11/7/1989,Bond for parks and recreation,Bond,,"Parks, recreation","$59,625,000 ","$10,000,000 ","$59,625,000 ","$10,000,000 ",yes,Pass,"1,336",672,"2,008",66.53%,33.47%,,no,,,8031,8031,8031
8029,Encinitas,CA,Municipal,11/7/1989,Bond for park and open space land acquistion,Bond,,"Parks, open space, recreation","$25,000,000 ","$25,000,000 ",,,no,Fail,"4,685","3,784","8,469",55.32%,44.68%,2/3 vote required,no,,,622678,622678,
7702,Pierce County,WA,County,11/6/1990,1 percent real estate excise tax for conservation. proposition 21,Real estate transfer tax,,Open space,,,,,no,Fail,"42,410","77,474","119,884",35.38%,64.62%,,no,,,53053,53053,53053
7703,Thurston County,WA,County,11/6/1990,Real estate excise tax for conservation,Real estate transfer tax,,Open space,,,,,no,Fail,"18,389","32,816","51,205",35.91%,64.09%,,no,,,53067,53067,53067
7705,Jefferson County,WA,County,11/6/1990,"10-year, 1 percent real estate excise tax",Real estate transfer tax,,"Open space, watershed protection, wildlife habitat",,,,,no,Fail,"3,655","4,374","8,029",45.52%,54.48%,,no,,,53031,53031,53031
7706,King County,WA,County,11/6/1990,"10-year, 1 percent real estate excise tax for the conservation of open space and natural areas",Real estate transfer tax,,Open space,"$100,000,000 ","$100,000,000 ",,,no,Fail,"157,209","248,534","405,743",38.75%,61.25%,,no,,,53033,53033,53033
8078,Bellingham,WA,Municipal,11/1/1990,"Property tax for $7,000,000 for open space",Property tax,,"Open space, watershed, parks, trails, greenways","$7,000,000 ","$7,000,000 ","$7,000,000 ","$7,000,000 ",yes,Pass,"6,638","3,231","9,869",67.26%,32.74%,,no,,,5305280,5305280,
7929,Montgomery County,VA,County,11/8/1990,Park and Recreation bonds,Bond,,"Recreation, parks","$1,200,000 ","$600,000 ",,,no,Fail,"4,059","6,852","10,911",37.20%,62.80%,,no,,,51121,51121,51121
7881,Grand Prairie,TX,Municipal,12/8/1990,Bond for parks,Bond,,Parks,"$5,000,000 ","$3,000,000 ",,,no,Fail,"1,354","1,560","2,914",46.47%,53.53%,"Dallas, Ellis and Tarrant Counties",no,,,4830464,4830464,
7689,Rhode Island,RI,State,11/6/1990,"Agricultural Land Preservation Fund, bonds for puchaseing development rights",Bond,,Farmland,"$2,000,000 ","$2,000,000 ","$2,000,000 ","$2,000,000 ",yes,Pass,"185,956","110,902","296,858",62.64%,37.36%,,no,,,44,44,44
8023,Cranston,RI,Municipal,11/6/1990,Bond for open space and recreation,Bond,,"Recreation, open space","$2,500,000 ","$500,000 ","$2,500,000 ","$500,000 ",yes,Pass,"15,348","9,493","24,841",61.78%,38.22%,,no,,,4400719180,4400719180,
7916,Gresham,Ore,Municipal,11/6/1990,Bond for open space acquisitions,Bond,,Open Space,"$10,285,000 ","$10,285,000 ","$10,285,000 ","$10,285,000 ",yes,Pass,"14,066","9,585","23,651",59.47%,40.53%,Multnomah County,no,,,4131250,4131250,
7886,Delaware County Preservation Park District,OH,County,11/6/1990,"10 years-(0.5) mill property tax, for acquiring , developing and operating lands for park purposes ",Property tax,,Parks,,,,,no,Fail,"11,180","14,422","25,602",43.67%,56.33%,,no,,,39041,39041,39041
7750,New York,NY,State,11/1/1990,Twenty-First Century Environmental Quality Bond Act,Bond,,"Recreation, open space, watershed protection, parks","$1,975,000,000 ","$167,500,000 ",,,no,Fail,"1,330,947","1,416,337","2,747,284",48.45%,51.55%,,no,,,36,36,36
7902,Nevada,NV,State,11/6/1990,"Question No.5-Bond for parks, wetlands and wildlife resources",Bond,,"wildlife habitat, parks","$47,200,000 ","$47,200,000 ","$47,200,000 ","$47,200,000 ",yes,Pass,"207,217","106,911","314,128",65.97%,34.03%,,no,,,32,32,32
7894,New Mexico,NM,State,11/6/1990,Bond for land preservation,Bond,,"Open space, wildlife habitat","$225,000 ","$225,000 ",,,no,Fail,"141,948","164,958","306,906",46.25%,53.75%,,no,,,35,35,35
9506,Atlantic County,NJ,County,11/6/1990,2 cents per $100 property tax increase for the establishment of an open space preservation trust fund,Property tax,,"Open space, parks, recreation","$88,538,904 ","$88,538,904 ","$88,538,904 ","$88,538,904 ",yes,Pass,,,,,,,no,,,34001,34001,34001
7468,Durham,NC,Municipal,11/6/1990,Bond for open space and greenways,Bond,,"open space, greenways","$3,200,000 ","$3,200,000 ","$3,200,000 ","$3,200,000 ",yes,Pass,,,,,,,no,,,3719000,3719000,
7870,Newton,NC,Municipal,11/6/1990,Bond for acquiring and constructing new park and recreational facilities,Bond,,"Recreation, parks","$350,000 ",,"$350,000 ",,yes,Pass,"1,614","1,136","2,750",58.69%,41.31%,Catawba County,no,,,3747000,3747000,
7871,Onslow County,NC,County,11/6/1990,Bond for parks,Bond,,Parks,,,,,no,Fail,"5,383","9,510","14,893",36.14%,63.86%,,no,,,37133,37133,37133
7884,Kernersville,NC,Municipal,5/8/1990,Bond for parks,Bond,,Parks,"$2,000,000 ","$800,000 ",,,no,Fail,282,730,"1,012",27.87%,72.13%,Forsyth County,no,,,3735600,3735600,
7824,Minnesota,MN,State,11/1/1990,Lottery proceeds to Environmental Fund,Other,Lottery,Open space,"$124,350,000 ","$89,532,000 ","$124,350,000 ","$89,532,000 ",yes,Pass,"1,388,105","329,806","1,717,911",80.80%,19.20%,,no,,,27,27,27
7822,Hillsborough County,FL,County,10/2/1990,Bonds for sensitive lands,Bond,,"Recreation, parks","$100,000,000 ","$100,000,000 ","$100,000,000 ","$100,000,000 ",yes,Pass,"36,657","13,566","50,223",72.99%,27.01%,,no,,,12057,12057,12057
7823,Brevard County,FL,County,9/4/1990,Bonds for land acquisition,Bond,,"forests, trails, recreation","$55,000,000 ","$55,000,000 ","$55,000,000 ","$55,000,000 ",yes,Pass,"43,277","27,676","70,953",60.99%,39.01%,,no,,,12009,12009,12009
7826,Seminole County,FL,County,11/6/1990,.25 mill property tax increase for land conservation,Property tax,,"Recreation, open space","$20,280,000 ","$20,280,000 ","$20,280,000 ","$20,280,000 ",yes,Pass,"39,858","25,977","65,835",60.54%,39.46%,,no,,,12117,12117,12117
7846,Miami-Dade County,FL,County,5/8/1990,2-year Property tax for environmental lands,Property tax,,Open space,"$90,000,000 ","$80,000,000 ","$90,000,000 ","$80,000,000 ",yes,Pass,"53,719","46,584","100,303",53.56%,46.44%,,no,,,12086,12086,12025
7874,Norwich,CT,Municipal,11/6/1990,Bond for the purchase by the City of the Tarryk property ,Bond,,Open space,"$1,200,000 ","$1,200,000 ",,,no,Fail,"2,545","5,095","7,640",33.31%,66.69%,,no,,,901156270,901156270,
9259,Mansfield,CT,Municipal,11/6/1990,Bond for the acquisition of land for open space and recreational purposes,Bond,,"Open space, recreation","$1,000,000 ","$1,000,000 ","$1,000,000 ","$1,000,000 ",yes,Pass,"2,437","1,701","4,138",58.89%,41.11%,,no,,,901344910,901344910,
9360,Cheshire,CT,Municipal,11/6/1990,Bond for open space acquisiton,Bond,,Open space and recreation,"$1,000,000 ","$1,000,000 ",,,no,Fail,"4,602","5,126","9,728",47.31%,52.69%,,no,,,900914160,900914160,
9401,Glastonbury,CT,Municipal,11/6/1990,Bond for Land Acquisition,Bond,,Open Space,"$2,000,000 ","$2,000,000 ","$2,000,000 ","$2,000,000 ",yes,Pass,"6,306","5,581","11,887",53.05%,46.95%,,no,,,900331240,900331240,
7806,Pitkin County,CO,County,11/6/1990,"Question 1, 2.5 mill property tax levy along with bond issue for the purchase, improvement and maintenance of open space and trails",Property tax,,"Open space, trails","$15,000,000 ","$15,000,000 ","$15,000,000 ","$15,000,000 ",yes,Pass,"2,183","1,751","3,934",55.49%,44.51%,Prop tax will be used to support bonds,no,,,8097,8097,8097
7612,San Diego Open Space Park Facilities District No. 1,CA,Special District,11/6/1990,Bond for the acquisition of open space and park facilities,Bond,,"Open space, parks","$100,000,000 ","$100,000,000 ",,,no,Fail,"127,262","128,950","256,212",49.67%,50.33%,,no,,,,,
7614,San Juan Capistrano,CA,Municipal,4/10/1990,"Bond for the acquisiton of open space, parks, and farmland",Bond,,"Open space, farmland, parks","$21,000,000 ","$21,000,000 ","$21,000,000 ","$21,000,000 ",yes,Pass,"3,504","1,419","4,923",71.18%,28.82%,"Orange County, 2/3rd required",no,,,668028,668028,
7615,Sonoma County,CA,County,11/6/1990,"20-year, .25 percent sales tax to fund the preservation of agriculture and other open space lands",Sales tax,,"Open space, farmland","$271,000,000 ","$271,000,000 ","$271,000,000 ","$271,000,000 ",yes,Pass,"67,101","54,645","121,746",55.12%,44.88%,,yes,2010,2006,6097,6097,6097
7659,Oakland,CA,Municipal,11/6/1990,"Measure K, Bond for open space acquisition, park and recreational facilities expansion",Bond,,"Open space, parks, recreation","$60,000,000 ","$23,200,000 ","$60,000,000 ","$23,200,000 ",yes,Pass,"52,486","24,684","77,170",68.01%,31.99%,"Alameda County, 2/3rd req.",no,,,653000,653000,
7680,California,CA,State,11/6/1990,"Proposition 128, Environmental Public Health Bond",Bond,,forests,"$340,000,000 ","$200,000,000 ",,,no,Fail,"2,636,663","4,760,022","7,396,685",35.65%,64.35%,,no,,,6,6,6
7713,California,CA,State,11/6/1990,"Proposition # 149, bond for acquiring state and local park, beach, recreation, greenbelt, wildland fire protection, coastal, historic, or museum purposes",Bond,,"Recreation, park, wildlife habitat","$437,000,000 ","$437,000,000 ",,,no,Fail,"3,330,877","3,743,765","7,074,642",47.08%,52.92%,,no,,,6,6,6
7819,Los Angeles County,CA,County,6/4/1990,Proposition B-Bond for recreational and cultural projects,Bond,,"Open space, parks, trails","$816,890,000 ","$20,000,000 ",,,no,Fail,"958,212","733,222","1,691,434",56.65%,43.35%,2/3 vote required,no,,,6037,6037,6037
7854,Irvine,CA,Municipal,3/6/1990,Bond for formation of Mello-Roos District to build parks,Bond,,"Parks, recreation","$57,000,000 ","$20,000,000 ",,,no,Fail,"2,562","8,090","10,652",24.05%,75.95%,,no,,,636770,636770,
9258,Cupertino,CA,Municipal,11/6/1990,"25-year, 2.40 percent utility tax for the preservation of Blackberry Farm and other open space along with recreational facilities",Other,Utility Tax,"Open space, recreation","$62,500,000 ","$62,500,000 ","$62,500,000 ","$62,500,000 ",yes,Pass,"15,082","4,464","19,546",77.16%,22.84%,Santa Clara County,yes,2015,,617610,617610,
9337,Laguna Beach,CA,Municipal,11/6/1990,"Bond to acquire lands in Laguna Canyon for open space, wetlands, and wildlife habitat",Bond,,"Open space, watershed protection. wildlife","$20,000,000 ","$20,000,000 ","$20,000,000 ","$20,000,000 ",yes,Pass,"8,920",228,"9,148",97.51%,2.49%,,no,,,639178,639178,
9363,Pacific Grove,CA,Municipal,11/6/1990,Bond to acquire land and construct a butterfly farm,Bond,,Habitat,"$1,230,000 ","$1,230,000 ","$1,230,000 ","$1,230,000 ",yes,Pass,"4,643","2,098","6,741",68.88%,31.12%,Monterey County,no,,,654848,654848,
9920,California,CA,State,6/5/1990,Initiative to provide $30 million annually for wildlife habitat protection and related purposes.  ,Other,"Initiative creates the Habitat Conservation Fund funded by bonds, the Environmental License Plate Fund, the Tobacco Tax Fund, Wildlife Restoration Fund, Endangered Species Income Tax Checkoff","Wildlife habitat, open space","$900,000,000 ","$900,000,000 ","$900,000,000 ","$900,000,000 ",yes,Pass,"2,572,470","2,334,900","4,907,370",52.42%,47.58%,"Proposition 117, at least 10 percent of the Tobacco tax Fund must be used for this initiative. ",yes,2020,,6,6,6
7745,Arizona,AZ,State,11/6/1990,Lottery revenues to parks and open space,Other,Lottery,"Parks, open space, wildlife habitat, trails","$400,000,000 ","$400,000,000 ","$400,000,000 ","$400,000,000 ",yes,Pass,"648,048","396,952","1,045,000",62.01%,37.99%,,no,,,4,4,4
7911,Loudoun County,VA,County,3/12/1991,Open Space Preservation,Bond,,Open Space,"$5,000,000 ","$5,000,000 ",,,no,Fail,"1,617","2,837","4,454",36.30%,63.70%,,no,,,51107,51107,51107
